product_id,date,revenue,units_sold,weather_condition,weather_temp,customer_flow,discount_percentage,sales_uid
Salad,2024-12-20,261.0,29,Sunny,10.4,49,0,gen_80bdcbefe9
Wrap,2024-12-20,307.5,41,Sunny,10.4,67,0,gen_7ae21da8ae
Coffee Beans,2024-12-21,1140.0,76,Sunny,15.2,117,0,gen_22e1936da3
Milk,2024-12-21,366.0,122,Sunny,15.2,195,0,gen_71b21adff8
Croissant,2024-12-21,504.0,112,Sunny,15.2,178,0,gen_25e1b6c4e3
Muffin,2024-12-21,332.5,95,Sunny,15.2,170,0,gen_227931bb9b
Sandwich,2024-12-21,456.0,57,Sunny,15.2,92,0,gen_186d436069
Juice,2024-12-21,545.0,109,Sunny,15.2,193,0,gen_9b05ec572c
Tea,2024-12-21,316.0,79,Sunny,15.2,118,0,gen_56c0709f3e
Cake,2024-12-21,282.0,47,Sunny,15.2,81,0,gen_c617ffd443
Salad,2024-12-21,270.0,30,Sunny,15.2,47,0,gen_39c5dbb3c1
Wrap,2024-12-21,397.5,53,Sunny,15.2,67,0,gen_aa670fe2fd
Coffee Beans,2024-12-22,1057.5,94,Sunny,13.5,161,25,gen_1fc51999e9
Milk,2024-12-22,441.0,147,Sunny,13.5,258,0,gen_f97719c21f
Croissant,2024-12-22,486.0,108,Sunny,13.5,169,0,gen_ec4156232b
Muffin,2024-12-22,297.5,85,Sunny,13.5,124,0,gen_425f9a0b36
Sandwich,2024-12-22,456.0,57,Sunny,13.5,90,0,gen_8874faa40b
Juice,2024-12-22,465.0,93,Sunny,13.5,121,0,gen_973cb2ec6e
Tea,2024-12-22,336.0,84,Sunny,13.5,146,0,gen_09d2fbcd08
Cake,2024-12-22,240.0,40,Sunny,13.5,65,0,gen_c7df8e06ac
Salad,2024-12-22,297.0,33,Sunny,13.5,58,0,gen_f1fe9a24ae
Wrap,2024-12-22,367.5,49,Sunny,13.5,82,0,gen_c0552d8610
Coffee Beans,2024-12-23,705.0,47,Sunny,10.6,72,0,gen_4fe094934b
Milk,2024-12-23,333.0,111,Sunny,10.6,168,0,gen_03d45d1b3e
Croissant,2024-12-23,396.0,88,Sunny,10.6,123,0,gen_7f080e5b39
Muffin,2024-12-23,203.0,58,Sunny,10.6,71,0,gen_c3e3ea1763
Sandwich,2024-12-23,352.0,44,Sunny,10.6,73,0,gen_3cb8089356
Juice,2024-12-23,442.0,104,Sunny,10.6,160,15,gen_c7113129a7
Tea,2024-12-23,244.0,61,Sunny,10.6,95,0,gen_ce01bfbf01
Cake,2024-12-23,162.0,27,Sunny,10.6,35,0,gen_f30cd573af
Salad,2024-12-23,243.0,27,Sunny,10.6,39,0,gen_b8924d7cca
Wrap,2024-12-23,277.5,37,Sunny,10.6,52,0,gen_278d3f9527
Coffee Beans,2024-12-24,720.0,48,Sunny,14.7,83,0,gen_6662f0cae4
Milk,2024-12-24,258.0,86,Sunny,14.7,136,0,gen_87e81d0f03
Croissant,2024-12-24,315.0,70,Sunny,14.7,116,0,gen_d5588aa299
Muffin,2024-12-24,210.0,60,Sunny,14.7,94,0,gen_64993bf0c5
Sandwich,2024-12-24,336.0,42,Sunny,14.7,52,0,gen_41ecadb88b
Juice,2024-12-24,325.0,65,Sunny,14.7,115,0,gen_0f8e028565
Tea,2024-12-24,280.0,70,Sunny,14.7,110,0,gen_c4dbbd3106
Cake,2024-12-24,187.2,39,Sunny,14.7,50,20,gen_80f7c6ec1a
Salad,2024-12-24,234.0,26,Sunny,14.7,36,0,gen_6d63d53c35
Wrap,2024-12-24,232.5,31,Sunny,14.7,50,0,gen_9bf51aa499
Coffee Beans,2024-12-25,465.0,31,Rainy,12.9,42,0,gen_de64c58803
Milk,2024-12-25,243.0,81,Rainy,12.9,99,0,gen_76e30878bb
Croissant,2024-12-25,270.0,60,Rainy,12.9,102,0,gen_a927f5dc4c
Muffin,2024-12-25,133.0,38,Rainy,12.9,54,0,gen_2e4120f9aa
Sandwich,2024-12-25,216.0,27,Rainy,12.9,39,0,gen_cd270f4c02
Juice,2024-12-25,215.0,43,Rainy,12.9,60,0,gen_6315c335d7
Tea,2024-12-25,160.0,40,Rainy,12.9,65,0,gen_c099dd366e
Cake,2024-12-25,108.0,18,Rainy,12.9,26,0,gen_8d5d9bd218
Salad,2024-12-25,135.0,15,Rainy,12.9,18,0,gen_c968a64142
Wrap,2024-12-25,180.0,24,Rainy,12.9,40,0,gen_6aa268225f
Coffee Beans,2024-12-26,465.0,31,Rainy,13.2,52,0,gen_b25b7c4d51
Milk,2024-12-26,183.0,61,Rainy,13.2,104,0,gen_b885a31de0
Croissant,2024-12-26,247.5,55,Rainy,13.2,82,0,gen_cc4715643f
Muffin,2024-12-26,126.0,36,Rainy,13.2,62,0,gen_d770e853e1
Sandwich,2024-12-26,248.0,31,Rainy,13.2,38,0,gen_11ecdf4759
Juice,2024-12-26,250.0,50,Rainy,13.2,72,0,gen_6b2712d5b9
Tea,2024-12-26,164.0,41,Rainy,13.2,63,0,gen_e1e142990c
Cake,2024-12-26,132.0,22,Rainy,13.2,30,0,gen_45458e6939
Salad,2024-12-26,171.0,19,Rainy,13.2,23,0,gen_e864ba098f
Wrap,2024-12-26,195.0,26,Rainy,13.2,43,0,gen_5870b4469b
Coffee Beans,2024-12-27,1092.0,91,Sunny,17.7,128,20,gen_0690ef4144
Milk,2024-12-27,360.0,120,Sunny,17.7,161,0,gen_2ccf8d9e9e
Croissant,2024-12-27,490.5,109,Sunny,17.7,186,0,gen_536936a700
Muffin,2024-12-27,276.5,79,Sunny,17.7,129,0,gen_6cfa9145bb
Sandwich,2024-12-27,416.0,52,Sunny,17.7,81,0,gen_22d0e58e99
Juice,2024-12-27,480.0,96,Sunny,17.7,120,0,gen_60ca371626
Tea,2024-12-27,312.0,78,Sunny,17.7,105,0,gen_79462e64f3
Cake,2024-12-27,216.0,36,Sunny,17.7,54,0,gen_6f86e43c70
Salad,2024-12-27,288.0,32,Sunny,17.7,39,0,gen_8ebc5af363
Wrap,2024-12-27,337.5,45,Sunny,17.7,64,0,gen_c8812d2ddb
Coffee Beans,2024-12-28,1200.0,80,Cloudy,15.9,116,0,gen_2b00d4de72
Milk,2024-12-28,530.4,221,Cloudy,15.9,324,20,gen_b5a17f951a
Croissant,2024-12-28,481.5,107,Cloudy,15.9,132,0,gen_5b49e6ee64
Muffin,2024-12-28,301.0,86,Cloudy,15.9,118,0,gen_42b79fa86a
Sandwich,2024-12-28,432.0,54,Cloudy,15.9,76,0,gen_83359ced42
Juice,2024-12-28,520.0,104,Cloudy,15.9,148,0,gen_0c3447fddc
Tea,2024-12-28,312.0,78,Cloudy,15.9,102,0,gen_b99411ebba
Cake,2024-12-28,234.0,39,Cloudy,15.9,54,0,gen_42e48853b2
Salad,2024-12-28,270.0,30,Cloudy,15.9,52,0,gen_63bdd0dc0e
Wrap,2024-12-28,315.0,42,Cloudy,15.9,52,0,gen_5a6623315b
Coffee Beans,2024-12-29,1020.0,68,Sunny,14.6,102,0,gen_e9ad48b2e1
Milk,2024-12-29,438.0,146,Sunny,14.6,209,0,gen_d722e66b39
Croissant,2024-12-29,526.5,117,Sunny,14.6,178,0,gen_e590d19811
Muffin,2024-12-29,287.0,82,Sunny,14.6,116,0,gen_25ca2e55a5
Sandwich,2024-12-29,456.0,57,Sunny,14.6,102,0,gen_c9d474869e
Juice,2024-12-29,525.0,105,Sunny,14.6,126,0,gen_c477da0da5
Tea,2024-12-29,312.0,78,Sunny,14.6,122,0,gen_8e368bc88e
Cake,2024-12-29,252.0,42,Sunny,14.6,75,0,gen_a67b08bfe1
Salad,2024-12-29,333.0,37,Sunny,14.6,63,0,gen_6549cb6d05
Wrap,2024-12-29,360.0,48,Sunny,14.6,84,0,gen_23a3dcd4e1
Coffee Beans,2024-12-30,855.0,57,Cloudy,15.7,86,0,gen_6b6ab4e4ad
Milk,2024-12-30,279.0,93,Cloudy,15.7,128,0,gen_af439356bd
Croissant,2024-12-30,315.0,70,Cloudy,15.7,125,0,gen_08302d7b9b
Muffin,2024-12-30,185.5,53,Cloudy,15.7,84,0,gen_99326493e9
Sandwich,2024-12-30,360.0,50,Cloudy,15.7,81,10,gen_93283a26b7
Juice,2024-12-30,320.0,64,Cloudy,15.7,88,0,gen_aaf3c0e521
Tea,2024-12-30,236.0,59,Cloudy,15.7,86,0,gen_491f6448e5
Cake,2024-12-30,204.0,34,Cloudy,15.7,44,0,gen_cf11a5046a
Salad,2024-12-30,216.0,24,Cloudy,15.7,32,0,gen_7ed7685d11
Wrap,2024-12-30,292.5,39,Cloudy,15.7,60,0,gen_7053ac40ba
Coffee Beans,2024-12-31,510.0,34,Rainy,7.2,53,0,gen_30d7ff6475
Milk,2024-12-31,228.0,76,Rainy,7.2,117,0,gen_71f82aa0ff
Croissant,2024-12-31,216.0,48,Rainy,7.2,58,0,gen_876f252b3c
Muffin,2024-12-31,126.0,36,Rainy,7.2,54,0,gen_1669f2cc37
Sandwich,2024-12-31,216.0,27,Rainy,7.2,39,0,gen_137fec6e64
Juice,2024-12-31,265.0,53,Rainy,7.2,69,0,gen_03694f2d3f
Tea,2024-12-31,192.0,48,Rainy,7.2,64,0,gen_9963be4ecb
Cake,2024-12-31,102.0,17,Rainy,7.2,27,0,gen_e0c15482fb
Salad,2024-12-31,171.0,19,Rainy,7.2,27,0,gen_b5f4792465
Wrap,2024-12-31,165.0,22,Rainy,7.2,32,0,gen_6cbd8becaf
Coffee Beans,2025-01-01,675.0,45,Sunny,13.1,58,0,gen_8d06d4ca26
Milk,2025-01-01,376.8,157,Sunny,13.1,202,20,gen_8b1fe661cc
Croissant,2025-01-01,346.5,77,Sunny,13.1,110,0,gen_76f6d30a57
Muffin,2025-01-01,196.0,56,Sunny,13.1,76,0,gen_b1be3c405f
Sandwich,2025-01-01,352.0,44,Sunny,13.1,56,0,gen_831118567b
Juice,2025-01-01,365.0,73,Sunny,13.1,110,0,gen_37fce8cfdd
Tea,2025-01-01,232.0,58,Sunny,13.1,95,0,gen_ac2ae49784
Cake,2025-01-01,162.0,27,Sunny,13.1,44,0,gen_463e5bfe01
Salad,2025-01-01,198.0,22,Sunny,13.1,34,0,gen_6b576f028f
Wrap,2025-01-01,274.12,43,Sunny,13.1,56,15,gen_6d84dc8ef5
Coffee Beans,2025-01-02,795.0,53,Sunny,16.1,64,0,gen_9a3d42a8ed
Milk,2025-01-02,276.0,92,Sunny,16.1,139,0,gen_cd8310d59e
Croissant,2025-01-02,360.0,80,Sunny,16.1,141,0,gen_6b4a08d448
Muffin,2025-01-02,238.0,68,Sunny,16.1,116,0,gen_a42d620d19
Sandwich,2025-01-02,304.0,38,Sunny,16.1,59,0,gen_f910d678a6
Juice,2025-01-02,395.0,79,Sunny,16.1,99,0,gen_4e0fba2eaa
Tea,2025-01-02,260.0,65,Sunny,16.1,100,0,gen_32aa404519
Cake,2025-01-02,220.8,46,Sunny,16.1,69,20,gen_efa0b9225f
Salad,2025-01-02,252.0,28,Sunny,16.1,35,0,gen_724c224aa5
Wrap,2025-01-02,277.5,37,Sunny,16.1,57,0,gen_aeba60a7db
Coffee Beans,2025-01-03,900.0,60,Cloudy,17.5,85,0,gen_0f0b9a8609
Milk,2025-01-03,390.0,130,Cloudy,17.5,180,0,gen_6783a7b8d9
Croissant,2025-01-03,490.5,109,Cloudy,17.5,150,0,gen_633d4ab76d
Muffin,2025-01-03,248.5,71,Cloudy,17.5,123,0,gen_22606099b5
Sandwich,2025-01-03,344.0,43,Cloudy,17.5,55,0,gen_b5ddcc74ea
Juice,2025-01-03,415.0,83,Cloudy,17.5,126,0,gen_8d96c79e79
Tea,2025-01-03,312.0,78,Cloudy,17.5,139,0,gen_f361233729
Cake,2025-01-03,204.0,34,Cloudy,17.5,45,0,gen_845f29ca58
Salad,2025-01-03,279.0,31,Cloudy,17.5,47,0,gen_16bc72ea09
Wrap,2025-01-03,270.0,36,Cloudy,17.5,48,0,gen_57494bec52
Coffee Beans,2025-01-04,1065.0,71,Cloudy,15.9,108,0,gen_44f3ffd81e
Milk,2025-01-04,438.0,146,Cloudy,15.9,198,0,gen_f14329dea6
Croissant,2025-01-04,468.0,104,Cloudy,15.9,178,0,gen_0ca348ae4f
Muffin,2025-01-04,280.0,80,Cloudy,15.9,109,0,gen_74ac06401e
Sandwich,2025-01-04,556.8,87,Cloudy,15.9,140,20,gen_170664ca2d
Juice,2025-01-04,435.0,87,Cloudy,15.9,106,0,gen_fcc7f92e4e
Tea,2025-01-04,304.0,76,Cloudy,15.9,129,0,gen_4751fb7c0f
Cake,2025-01-04,228.0,38,Cloudy,15.9,47,0,gen_d70bdf6996
Salad,2025-01-04,333.0,37,Cloudy,15.9,58,0,gen_20479a5518
Wrap,2025-01-04,354.0,59,Cloudy,15.9,75,20,gen_57b98ff1e0
Coffee Beans,2025-01-05,660.0,44,Rainy,13.1,64,0,gen_5c038bada5
Milk,2025-01-05,330.0,110,Rainy,13.1,163,0,gen_e8ac44b814
Croissant,2025-01-05,315.0,70,Rainy,13.1,106,0,gen_75d4773158
Muffin,2025-01-05,192.5,55,Rainy,13.1,68,0,gen_8623ac64b9
Sandwich,2025-01-05,288.0,36,Rainy,13.1,58,0,gen_9dc847d9e5
Juice,2025-01-05,295.0,59,Rainy,13.1,82,0,gen_d0881d4bb4
Tea,2025-01-05,212.0,53,Rainy,13.1,81,0,gen_9049cd9b0c
Cake,2025-01-05,180.0,30,Rainy,13.1,45,0,gen_7ab9e2d865
Salad,2025-01-05,202.5,25,Rainy,13.1,34,10,gen_5d3b0f5407
Wrap,2025-01-05,270.0,36,Rainy,13.1,50,0,gen_198c2c1aef
Coffee Beans,2025-01-06,705.0,47,Sunny,10.6,64,0,gen_d2335c1638
Milk,2025-01-06,297.0,99,Sunny,10.6,163,0,gen_c81e75927e
Croissant,2025-01-06,409.5,91,Sunny,10.6,115,0,gen_d1aef514b0
Muffin,2025-01-06,206.5,59,Sunny,10.6,92,0,gen_0ffa0e8f46
Sandwich,2025-01-06,328.0,41,Sunny,10.6,68,0,gen_87dc5ddd10
Juice,2025-01-06,370.0,74,Sunny,10.6,112,0,gen_0384d348bd
Tea,2025-01-06,282.0,94,Sunny,10.6,167,25,gen_30ca1b5f0d
Cake,2025-01-06,178.5,35,Sunny,10.6,45,15,gen_3027e4680d
Salad,2025-01-06,234.0,26,Sunny,10.6,43,0,gen_58d5839d29
Wrap,2025-01-06,217.5,29,Sunny,10.6,42,0,gen_ad7626373e
Coffee Beans,2025-01-07,645.0,43,Sunny,13.2,71,0,gen_dde8a08e51
Milk,2025-01-07,306.0,102,Sunny,13.2,125,0,gen_736a607bb5
Croissant,2025-01-07,319.5,71,Sunny,13.2,111,0,gen_6ecc2b7221
Muffin,2025-01-07,175.0,50,Sunny,13.2,75,0,gen_e60a730a74
Sandwich,2025-01-07,312.0,39,Sunny,13.2,52,0,gen_6d219ccd5d
Juice,2025-01-07,330.0,66,Sunny,13.2,85,0,gen_c3a3be65bf
Tea,2025-01-07,220.0,55,Sunny,13.2,92,0,gen_6e732db2d3
Cake,2025-01-07,186.0,31,Sunny,13.2,55,0,gen_bb22c70cac
Salad,2025-01-07,252.0,28,Sunny,13.2,45,0,gen_7fffb5342f
Wrap,2025-01-07,217.5,29,Sunny,13.2,52,0,gen_329364aeba
Coffee Beans,2025-01-08,690.0,46,Sunny,13.0,70,0,gen_0ca3d5b718
Milk,2025-01-08,279.0,93,Sunny,13.0,160,0,gen_e86470bd47
Croissant,2025-01-08,346.5,77,Sunny,13.0,106,0,gen_28c132b860
Muffin,2025-01-08,203.0,58,Sunny,13.0,85,0,gen_eb841d69a1
Sandwich,2025-01-08,328.0,41,Sunny,13.0,72,0,gen_580cc2bb2b
Juice,2025-01-08,335.0,67,Sunny,13.0,114,0,gen_d0da77f22c
Tea,2025-01-08,224.0,56,Sunny,13.0,94,0,gen_33e5304d78
Cake,2025-01-08,198.0,33,Sunny,13.0,58,0,gen_5121484af3
Salad,2025-01-08,189.0,21,Sunny,13.0,29,0,gen_9911b4cf6a
Wrap,2025-01-08,270.0,36,Sunny,13.0,61,0,gen_183601e387
Coffee Beans,2025-01-09,660.0,44,Sunny,11.1,67,0,gen_c66d8765dd
Milk,2025-01-09,252.0,84,Sunny,11.1,119,0,gen_829296e236
Croissant,2025-01-09,400.5,89,Sunny,11.1,129,0,gen_22b80e9b50
Muffin,2025-01-09,223.12,85,Sunny,11.1,120,25,gen_3a2dcf07b4
Sandwich,2025-01-09,272.0,34,Sunny,11.1,46,0,gen_0b5726a30b
Juice,2025-01-09,385.0,77,Sunny,11.1,96,0,gen_b33f13beca
Tea,2025-01-09,212.0,53,Sunny,11.1,79,0,gen_4e9e096eb5
Cake,2025-01-09,192.0,32,Sunny,11.1,42,0,gen_1402576d0c
Salad,2025-01-09,198.0,22,Sunny,11.1,30,0,gen_4610efb95c
Wrap,2025-01-09,225.0,30,Sunny,11.1,52,0,gen_1b9be2f47d
Coffee Beans,2025-01-10,780.0,52,Sunny,11.7,84,0,gen_fcf4ec3ee6
Milk,2025-01-10,348.0,116,Sunny,11.7,169,0,gen_85408e8856
Croissant,2025-01-10,432.0,96,Sunny,11.7,159,0,gen_c782b740cb
Muffin,2025-01-10,231.0,66,Sunny,11.7,115,0,gen_79a50da834
Sandwich,2025-01-10,384.0,48,Sunny,11.7,59,0,gen_92b8bf6c52
Juice,2025-01-10,510.0,120,Sunny,11.7,145,15,gen_30e985e9cc
Tea,2025-01-10,264.0,66,Sunny,11.7,102,0,gen_ccdeb3f070
Cake,2025-01-10,210.0,35,Sunny,11.7,46,0,gen_e467eb69fd
Salad,2025-01-10,243.0,27,Sunny,11.7,44,0,gen_6b768442cd
Wrap,2025-01-10,345.0,46,Sunny,11.7,76,0,gen_6f5e485563
Coffee Beans,2025-01-11,975.0,65,Sunny,12.2,91,0,gen_2ad9ca97fa
Milk,2025-01-11,456.3,169,Sunny,12.2,273,10,gen_118bfba986
Croissant,2025-01-11,490.5,109,Sunny,12.2,133,0,gen_c5bf2d0072
Muffin,2025-01-11,273.0,78,Sunny,12.2,93,0,gen_3127511bdd
Sandwich,2025-01-11,392.0,49,Sunny,12.2,77,0,gen_ca8bd263f6
Juice,2025-01-11,550.0,110,Sunny,12.2,196,0,gen_0915f37721
Tea,2025-01-11,416.0,130,Sunny,12.2,183,20,gen_776ea2894b
Cake,2025-01-11,276.0,46,Sunny,12.2,64,0,gen_4503116235
Salad,2025-01-11,324.0,36,Sunny,12.2,54,0,gen_472b3a03e2
Wrap,2025-01-11,375.0,50,Sunny,12.2,89,0,gen_3cbcc0953d
Coffee Beans,2025-01-12,900.0,60,Sunny,13.0,87,0,gen_c59b621371
